,year,disease,cdc_link
0,2000,Acquired immunodeficiency syndrome,https://ndc.services.cdc.gov/conditions/acquired-immunodeficiency-syndrome/
1,2000,Anthrax,https://ndc.services.cdc.gov/conditions/anthrax/
2,2000,Arboviral encephalitis,https://ndc.services.cdc.gov/conditions/arboviral-encephalitis/
3,2000,California serogroup encephalitis,https://ndc.services.cdc.gov/conditions/california-serogroup-encephalitis/
4,2000,Eastern equine encephalitis,https://ndc.services.cdc.gov/conditions/eastern-equine-encephalitis/
5,2000,St. Louis encephalitis,https://ndc.services.cdc.gov/conditions/st-louis-encephalitis/
6,2000,Western equine encephalitis,https://ndc.services.cdc.gov/conditions/western-equine-encephalitis/
7,2000,Botulism,https://ndc.services.cdc.gov/conditions/botulism/
8,2000,"Botulism, foodborne",https://ndc.services.cdc.gov/conditions/botulism-foodborne/
9,2000,"Botulism, infant",https://ndc.services.cdc.gov/conditions/botulism-infant/
10,2000,"Botulism, other",https://ndc.services.cdc.gov/conditions/botulism-other/
11,2000,"Botulism, wound",https://ndc.services.cdc.gov/conditions/botulism-wound/
12,2000,Brucellosis,https://ndc.services.cdc.gov/conditions/brucellosis/
13,2000,Chancroid,https://ndc.services.cdc.gov/conditions/chancroid/
14,2000,"Chlamydia trachomatis, genital infections",https://ndc.services.cdc.gov/conditions/chlamydia-trachomatis-genital-infections/
15,2000,Cholera,https://ndc.services.cdc.gov/conditions/cholera/
16,2000,Coccidioidomycosis,https://ndc.services.cdc.gov/conditions/coccidioidomycosis/
17,2000,Cryptosporidiosis,https://ndc.services.cdc.gov/conditions/cryptosporidiosis/
18,2000,Cyclosporiasis,https://ndc.services.cdc.gov/conditions/cyclosporiasis/
19,2000,Diphtheria,https://ndc.services.cdc.gov/conditions/diphtheria/
20,2000,Ehrlichiosis,https://ndc.services.cdc.gov/conditions/ehrlichiosis/
21,2000,Human granulocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-granulocytic-ehrlichiosis/
22,2000,Human monocytic ehrlichiosis,https://ndc.services.cdc.gov/conditions/human-monocytic-ehrlichiosis/
23,2000,Escherichia coli O157:H7,https://ndc.services.cdc.gov/conditions/escherichia-coli-o157h7/
24,2000,Gonorrhea,https://ndc.services.cdc.gov/conditions/gonorrhea/
25,2000,"Haemophilus influenzae, invasive disease",https://ndc.services.cdc.gov/conditions/haemophilus-influenzae-invasive-disease/
26,2000,Hansen's disease,https://ndc.services.cdc.gov/conditions/hansens-disease/
27,2000,Hantavirus pulmonary syndrome,https://ndc.services.cdc.gov/conditions/hantavirus-pulmonary-syndrome/
28,2000,"Hemolytic uremic syndrome, post-diarrheal",https://ndc.services.cdc.gov/conditions/hemolytic-uremic-syndrome-post-diarrheal/
29,2000,"Hepatitis A, acute",https://ndc.services.cdc.gov/conditions/hepatitis-a-acute/
30,2000,"Hepatitis B, acute",https://ndc.services.cdc.gov/conditions/hepatitis-b-acute-historical-version/
31,2000,"Hepatitis B, perinatal infection",https://ndc.services.cdc.gov/conditions/hepatitis-b-perinatal-virus-infection/
32,2000,"Hepatitis C, acute",https://ndc.services.cdc.gov/conditions/hepatitis-c-acute/
33,2000,Legionellosis,https://ndc.services.cdc.gov/conditions/legionellosis/
34,2000,Listeriosis,https://ndc.services.cdc.gov/conditions/listeriosis/
