Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Davante Adams,2018,26,28.4,215,73,15,15,169,111,65.7,WR,218.6,129.7,30.899999999999977,0,-1,0.7999999999999972,76,51.5,-0.45000000000000284,1,0,-1.5
Tyreek Hill,2018,24,27.4,191,70,16,16,137,87,63.5,WR,247,130.3,31.5,-2,0,-0.20000000000000284,44,27.5,-2.6500000000000057,2,-24,-4.5
DeAndre Hopkins,2018,26,28.8,218,73,16,16,163,115,70.6,WR,218.5,164.5,65.69999999999999,0,0,1.1999999999999993,70,55.5,4.449999999999989,2,3,-1.5
Travis Kelce,2018,29,29.6,250,77,16,16,150,103,68.7,TE,191.6,157.3,58.5,3,0,2,57,43.5,2.549999999999997,2,35,2.5
Tyler Lockett,2018,26,26.1,182,70,16,14,70,57,81.4,WR,165.4,153.2,54.39999999999998,0,0,-1.5,-23,-2.5,15.25,0,-33,-4.5
Michael Thomas,2018,25,26.5,212,75,16,16,147,125,85,WR,190.5,225.6,126.79999999999998,-1,0,-1.1000000000000014,54,65.5,18.849999999999994,2,-3,0.5
Adam Thielen,2018,28,25,195,74,16,16,153,113,73.9,WR,194.3,84.4,-14.400000000000006,2,0,-2.6000000000000014,60,53.5,7.75,2,-20,-0.5
Stefon Diggs,2018,25,25.9,191,72,15,14,149,102,68.5,WR,164.3,149.1,50.29999999999998,-1,-1,-1.7000000000000028,56,42.5,2.3499999999999943,0,-24,-2.5
Zach Ertz,2018,28,29.6,250,77,16,16,156,116,74.4,TE,164.3,127.6,28.799999999999983,2,0,2,63,56.5,8.25,2,35,2.5
Mike Evans,2018,25,27.4,231,77,16,16,138,86,62.3,WR,204.4,165.7,66.89999999999998,-1,0,-0.20000000000000284,45,26.5,-3.8500000000000085,2,16,2.5
Julio Jones,2018,29,27.5,220,75,16,16,170,113,66.5,WR,212.9,175.1,76.29999999999998,3,0,-0.10000000000000142,77,53.5,0.3499999999999943,2,5,0.5
Tyler Boyd,2018,24,26.1,203,74,14,14,108,76,70.4,WR,145.1,132.9,34.099999999999994,-2,-2,-1.5,15,16.5,4.25,0,-12,-0.5
Zay Jones,2018,23,25.7,200,74,16,15,102,56,54.9,WR,109.2,21.9,-76.9,-3,0,-1.9000000000000021,9,-3.5,-11.250000000000007,1,-15,-0.5
Amari Cooper,2018,24,27.8,211,73,15,15,107,75,70.1,WR,140.5,167.5,68.69999999999999,-2,-1,0.1999999999999993,14,15.5,3.9499999999999886,1,-4,-1.5
JuJu Smith-Schuster,2018,22,28.4,215,73,16,13,166,111,66.9,WR,185.9,71.2,-27.60000000000001,-4,0,0.7999999999999972,73,51.5,0.75,-1,0,-1.5
John Ross,2018,23,27.1,194,71,13,10,58,21,36.2,WR,63.9,67,-31.80000000000001,-3,-3,-0.5,-35,-38.5,-29.950000000000003,-4,-21,-3.5
Robbie Chosen,2018,25,23.1,185,75,14,9,94,50,53.2,WR,106.4,110.3,11.499999999999986,-1,-2,-4.5,1,-9.5,-12.950000000000003,-5,-30,0.5
Larry Fitzgerald,2018,35,27.2,218,75,16,16,112,69,61.6,WR,116.7,102.4,3.5999999999999943,9,0,-0.40000000000000213,19,9.5,-4.550000000000004,2,3,0.5
Alshon Jeffery,2018,28,27.2,218,75,13,13,92,65,70.7,WR,120.3,79.2,-19.60000000000001,2,-3,-0.40000000000000213,-1,5.5,4.549999999999997,-1,3,0.5
Keenan Allen,2018,26,27.1,211,74,16,14,136,97,71.3,WR,163.1,157.5,58.69999999999999,0,0,-0.5,43,37.5,5.1499999999999915,0,-4,-0.5
Cooper Kupp,2018,25,26.7,208,74,8,8,55,40,72.7,WR,95.1,176.5,77.69999999999999,-1,-8,-0.9000000000000021,-38,-19.5,6.549999999999997,-6,-7,-0.5
Robert Woods,2018,26,26.4,195,72,16,16,130,86,66.2,WR,179.6,142.9,44.099999999999994,0,0,-1.2000000000000028,37,26.5,0.04999999999999716,2,-20,-2.5
Odell Beckham Jr.,2018,26,27.9,200,71,12,12,124,77,62.1,WR,153.3,127.3,28.499999999999986,0,-4,0.29999999999999716,31,17.5,-4.050000000000004,-2,-15,-3.5
Julian Edelman,2018,32,28.4,198,70,12,12,108,74,68.5,WR,133.4,156.3,57.5,6,-4,0.7999999999999972,15,14.5,2.3499999999999943,-2,-17,-4.5
T.Y. Hilton,2018,29,26.3,183,70,14,14,120,76,63.3,WR,163,80.1,-18.700000000000017,3,-2,-1.3000000000000007,27,16.5,-2.8500000000000085,0,-32,-4.5
O.J. Howard,2018,24,29,251,78,10,8,48,34,70.8,TE,86.5,49.9,-48.90000000000001,-2,-6,1.3999999999999986,-45,-25.5,4.6499999999999915,-6,36,3.5
Kenny Golladay,2018,25,25.9,213,76,15,13,119,70,58.8,WR,137.1,183,84.19999999999999,-1,-1,-1.7000000000000028,26,10.5,-7.3500000000000085,-1,-2,1.5
George Kittle,2018,25,30.4,250,76,16,16,136,88,64.7,TE,170.7,137.5,38.69999999999999,-1,0,2.799999999999997,43,28.5,-1.4500000000000028,2,35,1.5
Tyrell Williams,2018,26,25.6,210,76,16,10,65,41,63.1,WR,96.8,101.1,2.299999999999983,0,0,-2,-28,-18.5,-3.0500000000000043,-4,-5,1.5
Chris Conley,2018,26,25.6,205,75,16,13,52,32,61.5,WR,59.4,109.5,10.699999999999989,0,0,-2,-41,-27.5,-4.650000000000006,-1,-10,0.5
Demaryius Thomas,2018,31,28.1,225,75,15,15,89,59,66.3,WR,97.7,49.3,-49.500000000000014,5,-1,0.5,-4,-0.5,0.14999999999999147,1,10,0.5
Marvin Jones,2018,28,25.5,199,74,9,9,62,35,56.5,WR,80.8,131.9,33.099999999999994,2,-7,-2.1000000000000014,-31,-24.5,-9.650000000000006,-5,-16,-0.5
Dede Westbrook,2018,25,24.1,178,72,16,9,101,66,65.3,WR,113.5,90.7,-8.100000000000009,-1,0,-3.5,8,6.5,-0.8500000000000085,-5,-37,-2.5
John Brown,2018,28,24.8,178,71,16,15,97,42,43.3,WR,101.9,147.8,49,2,0,-2.8000000000000007,4,-17.5,-22.85000000000001,1,-37,-3.5
Curtis Samuel,2018,22,27.2,195,71,13,8,65,39,60,WR,97.8,117.7,18.89999999999999,-4,-3,-0.40000000000000213,-28,-20.5,-6.150000000000006,-6,-20,-3.5
Brandin Cooks,2018,25,27.1,189,70,16,16,117,80,68.4,WR,163.2,75.5,-23.30000000000001,-1,0,-0.5,24,20.5,2.25,2,-26,-4.5
Kyle Rudolph,2018,29,30.6,265,78,16,16,82,64,78,TE,87.4,74.7,-24.10000000000001,3,0,3,-11,4.5,11.849999999999994,2,50,3.5
Dallas Goedert,2018,23,30.4,256,77,16,8,44,33,75,TE,57.4,86.7,-12.100000000000009,-3,0,2.799999999999997,-49,-26.5,8.849999999999994,-6,41,2.5
Greg Olsen,2018,33,30.2,255,77,9,9,38,27,71.1,TE,53.1,71.7,-27.10000000000001,7,-7,2.599999999999998,-55,-32.5,4.949999999999989,-5,40,2.5
Vance McDonald,2018,28,32.5,267,76,15,14,72,50,69.4,TE,83,45.5,-53.30000000000001,2,-1,4.899999999999999,-21,-9.5,3.25,0,52,1.5
Courtland Sutton,2018,23,26.3,216,76,16,9,84,42,50,WR,94.3,150.4,51.599999999999994,-3,0,-1.3000000000000007,-9,-17.5,-16.150000000000006,-5,1,1.5
Corey Davis,2018,23,26.1,209,75,16,16,112,65,58,WR,118.6,72.1,-26.700000000000017,-3,0,-1.5,19,5.5,-8.150000000000006,2,-6,0.5
Allen Robinson,2018,25,28.2,220,74,13,12,94,55,58.5,WR,98.3,156.9,58.099999999999994,-1,-3,0.5999999999999979,1,-4.5,-7.650000000000006,-2,5,-0.5
Mohamed Sanu,2018,29,27,210,74,16,16,94,66,70.2,WR,116.4,65.1,-33.70000000000002,3,0,-0.6000000000000014,1,6.5,4.049999999999997,2,-5,-0.5
Nelson Agholor,2018,25,27.1,200,72,16,16,97,64,66,WR,101.4,55,-43.80000000000001,-1,0,-0.5,4,4.5,-0.15000000000000568,2,-15,-2.5
Jarvis Landry,2018,26,27.3,196,71,16,14,149,81,54.4,WR,136.1,154.4,55.599999999999994,0,0,-0.3000000000000007,56,21.5,-11.750000000000007,0,-19,-3.5
Emmanuel Sanders,2018,31,25.1,180,71,12,12,98,71,72.4,WR,127.2,124.3,25.499999999999986,5,-4,-2.5,5,11.5,6.25,-2,-35,-3.5
